period,ECB_HCIP_actual_housing_rentals
2021Sep,113.99
2021Aug,113.99
2021Jul,113.99
2021Jun,113.14
2021May,113.14
2021Apr,113.14
2021Mar,113.14
2021Feb,113.14
2021Jan,113.14
2020Dec,113.14
2020Nov,113.14
2020Oct,113.14
2020Sep,113.07
2020Aug,113.07
2020Jul,113.07
2020Jun,109.91
2020May,109.91
2020Apr,109.91
2020Mar,109.91
2020Feb,109.91
2020Jan,109.91
2019Dec,109.91
2019Nov,109.91
2019Oct,109.91
2019Sep,109.91
2019Aug,109.91
2019Jul,109.91
2019Jun,107.19
2019May,107.19
2019Apr,107.19
2019Mar,107.19
2019Feb,107.19
2019Jan,107.19
2018Dec,107.19
2018Nov,107.19
2018Oct,107.19
2018Sep,107.15
2018Aug,107.15
2018Jul,107.15
2018Jun,104.74
2018May,104.74
2018Apr,104.74
2018Mar,104.74
2018Feb,104.74
2018Jan,104.74
2017Dec,104.74
2017Nov,104.74
2017Oct,104.74
2017Sep,104.74
2017Aug,104.74
2017Jul,104.75
2017Jun,103.11
2017May,103.11
2017Apr,103.11
2017Mar,103.11
2017Feb,103.11
2017Jan,103.11
2016Dec,103.11
2016Nov,103.11
2016Oct,103.11
2016Sep,103.11
2016Aug,103.11
2016Jul,103.11
2016Jun,101.06
2016May,101.06
2016Apr,101.06
2016Mar,101.06
2016Feb,101.06
2016Jan,101.06
2015Dec,101.06
2015Nov,101.06
2015Oct,101.06
2015Sep,101.22
2015Aug,101.22
2015Jul,101.22
2015Jun,98.86
2015May,98.86
2015Apr,98.86
2015Mar,98.86
2015Feb,98.86
2015Jan,98.86
2014Dec,98.86
2014Nov,98.86
2014Oct,98.86
2014Sep,98.86
2014Aug,98.86
2014Jul,98.86
2014Jun,94.75
2014May,94.75
2014Apr,94.75
2014Mar,94.75
2014Feb,94.75
2014Jan,94.75
2013Dec,94.75
2013Nov,94.75
2013Oct,94.75
2013Sep,94.75
2013Aug,94.75
2013Jul,94.75
2013Jun,90.55
2013May,90.55
2013Apr,90.55
2013Mar,90.55
2013Feb,90.55
2013Jan,90.55
2012Dec,90.55
2012Nov,90.55
2012Oct,90.55
2012Sep,90.55
2012Aug,90.55
2012Jul,90.55
2012Jun,88.05
2012May,88.05
2012Apr,88.05
2012Mar,88.05
2012Feb,88.05
2012Jan,88.05
2011Dec,88.05
2011Nov,88.05
2011Oct,88.05
2011Sep,88.05
2011Aug,88.05
2011Jul,88.05
2011Jun,86.51
2011May,86.51
2011Apr,86.51
2011Mar,86.51
2011Feb,86.51
2011Jan,86.51
2010Dec,86.51
2010Nov,86.51
2010Oct,86.51
2010Sep,86.51
2010Aug,86.51
2010Jul,86.51
2010Jun,85.11
2010May,85.11
2010Apr,85.11
2010Mar,85.11
2010Feb,85.11
2010Jan,85.11
2009Dec,85.11
2009Nov,85.11
2009Oct,85.11
2009Sep,85.11
2009Aug,85.11
2009Jul,85.11
2009Jun,82.78
2009May,82.78
2009Apr,82.78
2009Mar,82.78
2009Feb,82.78
2009Jan,82.78
2008Dec,82.78
2008Nov,82.78
2008Oct,82.78
2008Sep,82.78
2008Aug,82.78
2008Jul,82.78
2008Jun,81.21
2008May,81.21
2008Apr,81.21
2008Mar,81.21
2008Feb,81.21
2008Jan,81.21
2007Dec,81.21
2007Nov,81.21
2007Oct,81.21
2007Sep,81.21
2007Aug,81.21
2007Jul,81.21
2007Jun,80.12
2007May,80.12
2007Apr,80.12
2007Mar,80.12
2007Feb,80.12
2007Jan,80.12
2006Dec,80.12
2006Nov,80.12
2006Oct,80.12
2006Sep,80.12
2006Aug,80.12
2006Jul,80.12
2006Jun,78.02
2006May,78.02
2006Apr,78.02
2006Mar,78.02
2006Feb,78.02
2006Jan,78.02
2005Dec,78
2005Nov,78
2005Oct,78
2005Sep,78
2005Aug,78
2005Jul,78
2005Jun,76.45
2005May,76.45
2005Apr,76.45
2005Mar,76.45
2005Feb,76.45
2005Jan,76.45
2004Dec,76.45
2004Nov,76.45
2004Oct,76.45
2004Sep,76.45
2004Aug,76.45
2004Jul,76.45
2004Jun,74.18
2004May,74.2
2004Apr,74.2
2004Mar,74.18
2004Feb,74.18
2004Jan,74.18
2003Dec,74.18
2003Nov,74.18
2003Oct,74.18
2003Sep,74.18
2003Aug,74.18
2003Jul,74.18
2003Jun,71.87
2003May,71.87
2003Apr,71.87
2003Mar,71.87
2003Feb,71.87
2003Jan,71.87
2002Dec,71.87
2002Nov,71.87
2002Oct,71.87
2002Sep,71.87
2002Aug,71.87
2002Jul,71.87
2002Jun,69.85
2002May,69.85
2002Apr,69.85
2002Mar,69.85
2002Feb,69.85
2002Jan,69.85
2001Dec,69.85
2001Nov,69.85
2001Oct,69.85
2001Sep,69.85
2001Aug,69.85
2001Jul,69.85
2001Jun,67.99
2001May,67.99
2001Apr,67.99
2001Mar,67.99
2001Feb,67.99
2001Jan,67.99
2000Dec,67.96
2000Nov,67.96
2000Oct,67.96
2000Sep,67.96
2000Aug,67.96
2000Jul,67.96
2000Jun,66.31
2000May,66.31
2000Apr,66.31
2000Mar,66.31
2000Feb,66.31
2000Jan,66.31
1999Dec,66.31
1999Nov,66.31
1999Oct,66.31
1999Sep,66.31
1999Aug,66.31
1999Jul,66.31
1999Jun,64.37
1999May,64.37
1999Apr,64.37
1999Mar,64.37
1999Feb,64.37
1999Jan,64.37
1998Dec,64.37
1998Nov,64.37
1998Oct,64.37
1998Sep,64.37
1998Aug,64.37
1998Jul,64.37
1998Jun,62.31
1998May,62.31
1998Apr,62.31
1998Mar,62.31
1998Feb,62.31
1998Jan,62.31
1997Dec,62.31
1997Nov,62.31
1997Oct,62.31
1997Sep,62.31
1997Aug,62.31
1997Jul,62.31
1997Jun,60.02
1997May,60.02
1997Apr,60.02
1997Mar,60.02
1997Feb,60.02
1997Jan,60.02
1996Dec,60.02
1996Nov,60.02
1996Oct,60.02
1996Sep,60.02
1996Aug,60.02
1996Jul,60.02
1996Jun,57.67
1996May,57.67
1996Apr,57.67
1996Mar,57.67
1996Feb,57.67
1996Jan,57.67