period,ECB_interest_rate_change_component_EU_area
2021Aug,0
2021Jul,-0.02
2021Jun,0.01
2021May,0
2021Apr,-0.01
2021Mar,-0.03
2021Feb,0.01
2021Jan,-0.02
2020Dec,-0.01
2020Nov,0
2020Oct,-0.02
2020Sep,0.01
2020Aug,-0.01
2020Jul,-0.03
2020Jun,0
2020May,-0.03
2020Apr,-0.02
2020Mar,-0.03
2020Feb,-0.01
2020Jan,-0.01
2019Dec,-0.01
2019Nov,0
2019Oct,-0.02
2019Sep,0
2019Aug,-0.01
2019Jul,-0.03
2019Jun,0
2019May,-0.02
2019Apr,0
2019Mar,-0.02
2019Feb,0.01
2019Jan,0
2018Dec,-0.01
2018Nov,-0.01
2018Oct,-0.01
2018Sep,-0.01
2018Aug,-0.01
2018Jul,-0.02
2018Jun,-0.01
2018May,-0.02
2018Apr,-0.01
2018Mar,-0.02
2018Feb,0.01
2018Jan,-0.02
2017Dec,-0.02
2017Nov,-0.02
2017Oct,-0.01
2017Sep,-0.01
2017Aug,-0.01
2017Jul,-0.02
2017Jun,-0.01
2017May,-0.02
2017Apr,-0.02
2017Mar,-0.03
2017Feb,0.01
2017Jan,-0.02
2016Dec,-0.02
2016Nov,-0.01
2016Oct,-0.02
2016Sep,-0.02
2016Aug,-0.01
2016Jul,-0.03
2016Jun,-0.04
2016May,-0.02
2016Apr,-0.03
2016Mar,-0.05
2016Feb,-0.01
2016Jan,-0.05
2015Dec,-0.02
2015Nov,-0.01
2015Oct,-0.04
2015Sep,-0.01
2015Aug,-0.02
2015Jul,-0.05
2015Jun,-0.04
2015May,-0.03
2015Apr,-0.05
2015Mar,-0.04
2015Feb,0
2015Jan,-0.02
2014Dec,-0.07
2014Nov,-0.03
2014Oct,-0.05
2014Sep,-0.02
2014Aug,-0.04
2014Jul,-0.05
2014Jun,-0.01
2014May,-0.02
2014Apr,0.01
2014Mar,-0.03
2014Feb,0.02
2014Jan,0
2013Dec,0.02
2013Nov,0
2013Oct,-0.01
2013Sep,0.01
2013Aug,-0.01
2013Jul,0
2013Jun,0
2013May,-0.01
2013Apr,-0.01
2013Mar,-0.03
2013Feb,0.01
2013Jan,-0.02
2012Dec,-0.02
2012Nov,-0.01
2012Oct,-0.07
2012Sep,-0.02
2012Aug,-0.05
2012Jul,-0.06
2012Jun,-0.03
2012May,-0.05
2012Apr,-0.07
2012Mar,-0.07
2012Feb,-0.02
2012Jan,-0.04
2011Dec,-0.01
2011Nov,0.02
2011Oct,0.03
2011Sep,0.02
2011Aug,0.04
2011Jul,0.05
2011Jun,0.08
2011May,0.04
2011Apr,0.08
2011Mar,0.02
2011Feb,0.04
2011Jan,0.03
2010Dec,0.01
2010Nov,0.03
2010Oct,0.03
2010Sep,0.03
2010Aug,0.02
2010Jul,0.03
2010Jun,-0.01
2010May,-0.01
2010Apr,-0.04
2010Mar,-0.05
2010Feb,-0.01
2010Jan,-0.03
2009Dec,-0.06
2009Nov,-0.03
2009Oct,-0.07
2009Sep,-0.05
2009Aug,-0.08
2009Jul,-0.18
2009Jun,-0.11
2009May,-0.12
2009Apr,-0.26
2009Mar,-0.3
2009Feb,-0.23
2009Jan,-0.48
2008Dec,-0.32
2008Nov,-0.15
2008Oct,0.05
2008Sep,0.09
2008Aug,0.03
2008Jul,0.06
2008Jun,0.08
2008May,0.04
2008Apr,0.03
2008Mar,-0.02
2008Feb,-0.01
2008Jan,-0.02
2007Dec,0.08
2007Nov,0.01
2007Oct,0.07
2007Sep,0.12
2007Aug,0.06
2007Jul,0.06
2007Jun,0.09
2007May,0.02
2007Apr,0.05
2007Mar,0.04
2007Feb,0.06
2007Jan,0.09
2006Dec,0.07
2006Nov,0.07
2006Oct,0.08
2006Sep,0.07
2006Aug,0.03
2006Jul,0.07
2006Jun,0.06
2006May,0.03
2006Apr,0.05
2006Mar,0.02
2006Feb,0.06
2006Jan,0.04
2005Dec,0.03
2005Nov,0.02
2005Oct,-0.01
2005Sep,-0.01
2005Aug,-0.02
2005Jul,-0.04
2005Jun,0
2005May,-0.01
2005Apr,-0.03
2005Mar,-0.04
2005Feb,0.03
2005Jan,0
2004Dec,-0.03
2004Nov,-0.01
2004Oct,-0.03
2004Sep,0.02
2004Aug,-0.01
2004Jul,-0.01
2004Jun,0.01
2004May,-0.03
2004Apr,-0.03
2004Mar,-0.02
2004Feb,-0.01
2004Jan,0
2003Dec,-0.01
2003Nov,-0.02
2003Oct,-0.03
2003Sep,-0.02
2003Aug,-0.04
2003Jul,-0.13
2003Jun,-0.1
2003May,-0.05
2003Apr,-0.06
2003Mar,-0.06
2003Feb,-0.03
2003Jan,0