period ,ECB_share_of_variable_rate_mortgages
2021Aug,12.06
2021Jul,11.26
2021Jun,11.35
2021May,11.62
2021Apr,11.35
2021Mar,11.89
2021Feb,13.05
2021Jan,13.24
2020Dec,14.61
2020Nov,15.7
2020Oct,15.5
2020Sep,15.26
2020Aug,14.63
2020Jul,13.11
2020Jun,12.31
2020May,11.01
2020Apr,14.21
2020Mar,16.72
2020Feb,17.75
2020Jan,17.39
2019Dec,17.49
2019Nov,14.41
2019Oct,20.23
2019Sep,19.92
2019Aug,19.51
2019Jul,19.13
2019Jun,20.26
2019May,19.84
2019Apr,19.13
2019Mar,18.62
2019Feb,17.96
2019Jan,18.06
2018Dec,16.9
2018Nov,17.12
2018Oct,16.84
2018Sep,17.03
2018Aug,15.75
2018Jul,16.12
2018Jun,16.5
2018May,15.98
2018Apr,16.23
2018Mar,15.2
2018Feb,15.29
2018Jan,15.72
2017Dec,15.23
2017Nov,15.15
2017Oct,15.55
2017Sep,15.28
2017Aug,14.17
2017Jul,14.63
2017Jun,14.83
2017May,13.43
2017Apr,13.51
2017Mar,11.59
2017Feb,10.3
2017Jan,10.41
2016Dec,9.76
2016Nov,12.91
2016Oct,14
2016Sep,13.24
2016Aug,14.31
2016Jul,12.78
2016Jun,14.97
2016May,14.94
2016Apr,14.84
2016Mar,15.01
2016Feb,12.98
2016Jan,14.4
2015Dec,12.04
2015Nov,11.92
2015Oct,12.2
2015Sep,10.73
2015Aug,9.48
2015Jul,11.34
2015Jun,13.54
2015May,16.83
2015Apr,19.76
2015Mar,19.48
2015Feb,16.47
2015Jan,19.89
2014Dec,17.64
2014Nov,18.68
2014Oct,20.57
2014Sep,20.03
2014Aug,19.13
2014Jul,18.75
2014Jun,19.38
2014May,18.87
2014Apr,19.53
2014Mar,20.24
2014Feb,21.4
2014Jan,22.12
2013Dec,21.4
2013Nov,23.81
2013Oct,25.46
2013Sep,24.84
2013Aug,25.99
2013Jul,27.24
2013Jun,27.87
2013May,25.81
2013Apr,21.79
2013Mar,19.18
2013Feb,23.93
2013Jan,25.93
2012Dec,20.13
2012Nov,27.27
2012Oct,26.59
2012Sep,25.57
2012Aug,22.8
2012Jul,21.69
2012Jun,19.47
2012May,23.03
2012Apr,25.59
2012Mar,23.19
2012Feb,21.63
2012Jan,23.24
2011Dec,19.78
2011Nov,22.66
2011Oct,26.02
2011Sep,28.17
2011Aug,27.07
2011Jul,26.34
2011Jun,24.7
2011May,22.42
2011Apr,19.96
2011Mar,16.59
2011Feb,14.83
2011Jan,15.36
2010Dec,15.76
2010Nov,18.1
2010Oct,18.75
2010Sep,19.51
2010Aug,20.79
2010Jul,20.68
2010Jun,19.94
2010May,22.81
2010Apr,23.01
2010Mar,22.96
2010Feb,23.44
2010Jan,24.94
2009Dec,21.96
2009Nov,23.81
2009Oct,25.54
2009Sep,25.83
2009Aug,27.28
2009Jul,27.96
2009Jun,26.76
2009May,28.4
2009Apr,27.38
2009Mar,24.36
2009Feb,20.67
2009Jan,16.61
2008Dec,11.82
2008Nov,11.27
2008Oct,12.36
2008Sep,14.07
2008Aug,14.3
2008Jul,12.66
2008Jun,14.97
2008May,15.98
2008Apr,15.58
2008Mar,17.63
2008Feb,18.46
2008Jan,18.07
2007Dec,16.16
2007Nov,16.21
2007Oct,16.77
2007Sep,19.11
2007Aug,16.62
2007Jul,17.18
2007Jun,16.66
2007May,16.89
2007Apr,17.32
2007Mar,16.56
2007Feb,18.41
2007Jan,18.84
2006Dec,17.77
2006Nov,24.21
2006Oct,26.69
2006Sep,28.67
2006Aug,26.05
2006Jul,26.11
2006Jun,24.01
2006May,19.81
2006Apr,18.94
2006Mar,21.54
2006Feb,21.53
2006Jan,21.49
2005Dec,22.04
2005Nov,24.3
2005Oct,29.08
2005Sep,32.86
2005Aug,32.57
2005Jul,37.38
2005Jun,39.96
2005May,39.82
2005Apr,42.79
2005Mar,47.26
2005Feb,41.16
2005Jan,43.21
2004Dec,42.68
2004Nov,39.91
2004Oct,37.23
2004Sep,37.99
2004Aug,35.25
2004Jul,33.98
2004Jun,34.59
2004May,35.36
2004Apr,37.4
2004Mar,33.15
2004Feb,29.15
2004Jan,28.92
2003Dec,23.73
2003Nov,21.45
2003Oct,19.24
2003Sep,17.72
2003Aug,19.06
2003Jul,21.7
2003Jun,23.26
2003May,21.46
2003Apr,25.44
2003Mar,29.33
2003Feb,30.62
2003Jan,32.01