Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=304.RAI.M.NL.SVLHHNFC.EUR.MIR.Z,,,
,RAI.M.NL.SVLHHNFC.EUR.MIR.Z,,
,"Netherlands, share of variable rate loans in total loans to households and non-financial corporations (new business; Euro denominated loans; floating rate or initial rate fixed for a period of up to 1 year) (Based on MIR data)",,
Collection:,Average of observations through period (A),,
Period\Unit:,[Percent ],,
,,obs. status,obs. comment
2021Aug,41.26,Normal value (A),
2021Jul,38.75,Normal value (A),
2021Jun,38.59,Normal value (A),
2021May,39.6,Normal value (A),
2021Apr,36.38,Normal value (A),
2021Mar,52.77,Normal value (A),
2021Feb,36.49,Normal value (A),
2021Jan,31.07,Normal value (A),
2020Dec,36.5,Normal value (A),
2020Nov,35.15,Normal value (A),
2020Oct,34.78,Normal value (A),
2020Sep,41.68,Normal value (A),
2020Aug,39.78,Normal value (A),
2020Jul,42.78,Normal value (A),
2020Jun,41.76,Normal value (A),
2020May,34.44,Normal value (A),
2020Apr,41.96,Normal value (A),
2020Mar,52.23,Normal value (A),
2020Feb,47.18,Normal value (A),
2020Jan,45.01,Normal value (A),
2019Dec,42.74,Normal value (A),
2019Nov,37.86,Normal value (A),
2019Oct,46.96,Normal value (A),
2019Sep,47.82,Normal value (A),
2019Aug,44.84,Normal value (A),
2019Jul,47.49,Normal value (A),
2019Jun,49.71,Normal value (A),
2019May,46.02,Normal value (A),
2019Apr,54.71,Normal value (A),
2019Mar,49.19,Normal value (A),
2019Feb,49.47,Normal value (A),
2019Jan,46.89,Normal value (A),
2018Dec,48.06,Normal value (A),
2018Nov,47.24,Normal value (A),
2018Oct,47.75,Normal value (A),
2018Sep,48.56,Normal value (A),
2018Aug,45,Normal value (A),
2018Jul,46.09,Normal value (A),
2018Jun,48.66,Normal value (A),
2018May,45,Normal value (A),
2018Apr,51.06,Normal value (A),
2018Mar,47.84,Normal value (A),
2018Feb,46.43,Normal value (A),
2018Jan,50.61,Normal value (A),
2017Dec,47.68,Normal value (A),
2017Nov,43.4,Normal value (A),
2017Oct,49.4,Normal value (A),
2017Sep,47.86,Normal value (A),
2017Aug,45.03,Normal value (A),
2017Jul,47.71,Normal value (A),
2017Jun,49.02,Normal value (A),
2017May,42.64,Normal value (A),
2017Apr,47.85,Normal value (A),
2017Mar,44.54,Normal value (A),
2017Feb,41.27,Normal value (A),
2017Jan,42.61,Normal value (A),
2016Dec,40.76,Normal value (A),
2016Nov,46.18,Normal value (A),
2016Oct,48.17,Normal value (A),
2016Sep,46.42,Normal value (A),
2016Aug,44.31,Normal value (A),
2016Jul,47,Normal value (A),
2016Jun,50.64,Normal value (A),
2016May,48.34,Normal value (A),
2016Apr,50.68,Normal value (A),
2016Mar,47.91,Normal value (A),
2016Feb,45.89,Normal value (A),
2016Jan,49.24,Normal value (A),
2015Dec,46.96,Normal value (A),
2015Nov,44.94,Normal value (A),
2015Oct,53.98,Normal value (A),
2015Sep,51.7,Normal value (A),
2015Aug,45.48,Normal value (A),
2015Jul,49.94,Normal value (A),
2015Jun,54.24,Normal value (A),
2015May,55.25,Normal value (A),
2015Apr,60.36,Normal value (A),
2015Mar,60.36,Normal value (A),
2015Feb,55.51,Normal value (A),
2015Jan,57.2,Normal value (A),
2014Dec,59.27,Normal value (A),
2014Nov,45.6,Normal value (A),
2014Oct,48.85,Normal value (A),
2014Sep,51.32,Normal value (A),
2014Aug,52.15,Normal value (A),
2014Jul,55.92,Normal value (A),
2014Jun,50.67,Normal value (A),
2014May,53.69,Normal value (A),
2014Apr,55.96,Normal value (A),
2014Mar,53.63,Normal value (A),
2014Feb,57.99,Normal value (A),
2014Jan,57.77,Normal value (A),
2013Dec,56.41,Normal value (A),
2013Nov,58.13,Normal value (A),
2013Oct,60.8,Normal value (A),
2013Sep,56.97,Normal value (A),
2013Aug,59.64,Normal value (A),
2013Jul,64.15,Normal value (A),
2013Jun,59.59,Normal value (A),
2013May,60.97,Normal value (A),
2013Apr,55.97,Normal value (A),
2013Mar,58.71,Normal value (A),
2013Feb,62.66,Normal value (A),
2013Jan,66.38,Normal value (A),
2012Dec,52.91,Normal value (A),
2012Nov,62.54,Normal value (A),
2012Oct,65.47,Normal value (A),
2012Sep,62.29,Normal value (A),
2012Aug,61.77,Normal value (A),
2012Jul,61.03,Normal value (A),
2012Jun,55.99,Normal value (A),
2012May,62.07,Normal value (A),
2012Apr,63.24,Normal value (A),
2012Mar,62.58,Normal value (A),
2012Feb,61.68,Normal value (A),
2012Jan,62.43,Normal value (A),
2011Dec,58.8,Normal value (A),
2011Nov,59.97,Normal value (A),
2011Oct,66.11,Normal value (A),
2011Sep,65.06,Normal value (A),
2011Aug,64.79,Normal value (A),
2011Jul,68.08,Normal value (A),
2011Jun,62.8,Normal value (A),
2011May,61.1,Normal value (A),
2011Apr,60.91,Normal value (A),
2011Mar,59.1,Normal value (A),
2011Feb,56.27,Normal value (A),
2011Jan,57.49,Normal value (A),
2010Dec,51.96,Normal value (A),
2010Nov,54.38,Normal value (A),
2010Oct,63.49,Normal value (A),
2010Sep,55.49,Normal value (A),
2010Aug,58.53,Normal value (A),
2010Jul,59.1,Normal value (A),
2010Jun,55.67,Normal value (A),
2010May,66.73,Normal value (A),
2010Apr,70.29,Normal value (A),
2010Mar,69.52,Normal value (A),
2010Feb,72.3,Normal value (A),
2010Jan,73.48,Normal value (A),
2009Dec,64.68,Normal value (A),
2009Nov,70.16,Normal value (A),
2009Oct,71.93,Normal value (A),
2009Sep,73.38,Normal value (A),
2009Aug,73.07,Normal value (A),
2009Jul,72.72,Normal value (A),
2009Jun,72.33,Normal value (A),
2009May,73.54,Normal value (A),
2009Apr,72.75,Normal value (A),
2009Mar,75.84,Normal value (A),
2009Feb,76.6,Normal value (A),
2009Jan,73.69,Normal value (A),
2008Dec,67.56,Normal value (A),
2008Nov,71.53,Normal value (A),
2008Oct,65.92,Normal value (A),
2008Sep,72.08,Normal value (A),
2008Aug,69.85,Normal value (A),
2008Jul,67.93,Normal value (A),
2008Jun,68.33,Normal value (A),
2008May,65.6,Normal value (A),
2008Apr,64.47,Normal value (A),
2008Mar,70.22,Normal value (A),
2008Feb,64.72,Normal value (A),
2008Jan,64.83,Normal value (A),
2007Dec,61.88,Normal value (A),
2007Nov,59.18,Normal value (A),
2007Oct,62.11,Normal value (A),
2007Sep,66.52,Normal value (A),
2007Aug,60.64,Normal value (A),
2007Jul,58.58,Normal value (A),
2007Jun,61.25,Normal value (A),
2007May,60.99,Normal value (A),
2007Apr,60.35,Normal value (A),
2007Mar,58.21,Normal value (A),
2007Feb,59.67,Normal value (A),
2007Jan,59.08,Normal value (A),
2006Dec,53.53,Normal value (A),
2006Nov,58,Normal value (A),
2006Oct,59.51,Normal value (A),
2006Sep,59.33,Normal value (A),
2006Aug,59.91,Normal value (A),
2006Jul,57.25,Normal value (A),
2006Jun,57.31,Normal value (A),
2006May,56.88,Normal value (A),
2006Apr,53.2,Normal value (A),
2006Mar,54.57,Normal value (A),
2006Feb,56.47,Normal value (A),
2006Jan,59.18,Normal value (A),
2005Dec,53.51,Normal value (A),
2005Nov,55.24,Normal value (A),
2005Oct,57.82,Normal value (A),
2005Sep,59.39,Normal value (A),
2005Aug,58.5,Normal value (A),
2005Jul,60.9,Normal value (A),
2005Jun,64.2,Normal value (A),
2005May,64.77,Normal value (A),
2005Apr,67.48,Normal value (A),
2005Mar,68.81,Normal value (A),
2005Feb,67.32,Normal value (A),
2005Jan,71.14,Normal value (A),
2004Dec,66.02,Normal value (A),
2004Nov,69.51,Normal value (A),
2004Oct,71.53,Normal value (A),
2004Sep,71.76,Normal value (A),
2004Aug,68.16,Normal value (A),
2004Jul,68.11,Normal value (A),
2004Jun,67.27,Normal value (A),
2004May,69.64,Normal value (A),
2004Apr,71.93,Normal value (A),
2004Mar,68.15,Normal value (A),
2004Feb,69.24,Normal value (A),
2004Jan,70.27,Normal value (A),
2003Dec,60.79,Normal value (A),
2003Nov,62.63,Normal value (A),
2003Oct,61.25,Normal value (A),
2003Sep,58.85,Normal value (A),
2003Aug,60.87,Normal value (A),
2003Jul,60.61,Normal value (A),
2003Jun,62.34,Normal value (A),
2003May,60.45,Normal value (A),
2003Apr,60.92,Normal value (A),
2003Mar,64.96,Normal value (A),
2003Feb,68.7,Normal value (A),
2003Jan,70.94,Normal value (A),