period,woningbouwers_newly_built_houses
01/01/2003,3000
01/02/2003,2300
01/03/2003,2300
01/04/2003,2900
01/05/2003,2700
01/06/2003,3300
01/07/2003,2400
01/08/2003,2100
01/09/2003,3300
01/10/2003,3100
01/11/2003,3500
01/12/2003,2700
01/01/2004,3400
01/02/2004,3100
01/03/2004,3800
01/04/2004,3200
01/05/2004,2900
01/06/2004,3200
01/07/2004,2600
01/08/2004,1900
01/09/2004,3000
01/10/2004,3100
01/11/2004,3000
01/12/2004,2700
01/01/2005,3900
01/02/2005,3300
01/03/2005,4300
01/04/2005,4200
01/05/2005,2900
01/06/2005,3200
01/07/2005,3100
01/08/2005,3100
01/09/2005,3700
01/10/2005,3800
01/11/2005,4600
01/12/2005,3000
01/01/2006,4300
01/02/2006,4200
01/03/2006,4600
01/04/2006,2900
01/05/2006,3800
01/06/2006,3600
01/07/2006,3100
01/08/2006,3200
01/09/2006,3600
01/10/2006,3900
01/11/2006,3800
01/12/2006,2600
01/01/2007,3900
01/02/2007,3000
01/03/2007,3600
01/04/2007,3100
01/05/2007,3600
01/06/2007,2700
01/07/2007,3600
01/08/2007,2300
01/09/2007,3300
01/10/2007,3500
01/11/2007,2800
01/12/2007,2600
01/01/2008,3420
01/02/2008,2593
01/03/2008,2815
01/04/2008,2792
01/05/2008,2538
01/06/2008,2470
01/07/2008,2199
01/08/2008,1544
01/09/2008,2206
01/10/2008,1990
01/11/2008,1403
01/12/2008,1112
01/01/2009,1126
01/02/2009,1077
01/03/2009,1379
01/04/2009,1146
01/05/2009,1195
01/06/2009,1426
01/07/2009,1520
01/08/2009,1190
01/09/2009,1750
01/10/2009,1662
01/11/2009,1558
01/12/2009,1734
01/01/2010,1882
01/02/2010,2066
01/03/2010,2154
01/04/2010,2651
01/05/2010,1898
01/06/2010,2747
01/07/2010,2378
01/08/2010,1303
01/09/2010,2384
01/10/2010,2005
01/11/2010,2302
01/12/2010,1955
01/01/2011,2634
01/02/2011,2231
01/03/2011,2325
01/04/2011,2018
01/05/2011,1577
01/06/2011,1572
01/07/2011,1470
01/08/2011,1513
01/09/2011,1490
01/10/2011,1189
01/11/2011,2032
01/12/2011,1087
01/01/2012,1130
01/02/2012,1532
01/03/2012,1013
01/04/2012,1122
01/05/2012,906
01/06/2012,1357
01/07/2012,1091
01/08/2012,1215
01/09/2012,1287
01/10/2012,1368
01/11/2012,1306
01/12/2012,1002
01/01/2013,1524
01/02/2013,981
01/03/2013,1001
01/04/2013,1060
01/05/2013,1169
01/06/2013,1353
01/07/2013,1074
01/08/2013,1005
01/09/2013,1455
01/10/2013,1595
01/11/2013,1249
01/12/2013,1585
01/01/2014,1325
01/02/2014,1714
01/03/2014,1864
01/04/2014,1752
01/05/2014,2015
01/06/2014,1818
01/07/2014,2058
01/08/2014,1115
01/09/2014,2604
01/10/2014,2417
01/11/2014,2679
01/12/2014,2755
01/01/2015,2406
01/02/2015,2278
01/03/2015,2951
01/04/2015,2488
01/05/2015,2454
01/06/2015,2700
01/07/2015,3200
01/08/2015,1723
01/09/2015,2935
01/10/2015,2760
01/11/2015,2660
01/12/2015,2445
01/01/2016,3079
01/02/2016,3068
01/03/2016,3193
01/04/2016,2761
01/05/2016,2464
01/06/2016,2967
01/07/2016,2538
01/08/2016,2130
01/09/2016,3076
01/10/2016,2797
01/11/2016,3706
01/12/2016,2671
01/01/2017,3109
01/02/2017,2950
01/03/2017,3148
01/04/2017,2754
01/05/2017,3416
01/06/2017,2982
01/07/2017,2613
01/08/2017,2305
01/09/2017,3687
01/10/2017,3959
01/11/2017,4439
01/12/2017,2715
01/01/2018,2907
01/02/2018,2751
01/03/2018,2876
01/04/2018,2991
01/05/2018,3353
01/06/2018,2757
01/07/2018,2742
01/08/2018,2735
01/09/2018,2951
01/10/2018,3039
01/11/2018,3728
01/12/2018,2955
01/01/2019,2779
01/02/2019,2537
01/03/2019,2653
01/04/2019,2689
01/05/2019,2431
01/06/2019,2397
01/07/2019,2910
01/08/2019,1635
01/09/2019,2496
01/10/2019,2562
01/11/2019,3284
01/12/2019,2927
01/01/2020,3280
01/02/2020,2173
01/03/2020,2478
01/04/2020,2648
01/05/2020,3193
01/06/2020,2781
01/07/2020,3458
01/08/2020,2539
01/09/2020,2662
01/10/2020,3313
01/11/2020,4078
01/12/2020,2638
01/01/2021,3735
01/02/2021,2744
01/03/2021,3841
01/04/2021,3075
01/05/2021,2467
01/06/2021,3558
01/07/2021,3190
01/08/2021,2271
01/09/2021,3503